ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,Con_hijos,Con_vehiculo
20619,Single,Male,80000.0,0.0,Bachelors,Professional,No,4.0,10+ Miles,Pacific,35.0,No,No,Si
12558,Married,Female,20000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,65.0,No,Si,No
24871,Single,Female,90000.0,4.0,High School,Management,No,3.0,5-10 Miles,Europe,56.0,No,Si,Si
17319,Single,Female,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,42.0,No,No,Si
28906,Married,Male,80000.0,4.0,High School,Professional,Yes,2.0,10+ Miles,Europe,54.0,No,Si,Si
12808,Married,Male,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes,No,No
20567,Married,Male,130000.0,4.0,Partial College,Professional,No,4.0,5-10 Miles,Europe,61.0,Yes,Si,Si
25502,Married,Female,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,43.0,Yes,Si,No
15580,Married,Male,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,38.0,Yes,Si,Si
24185,Single,Female,10000.0,1.0,High School,Manual,No,1.0,1-2 Miles,Europe,45.0,No,Si,Si
19291,Single,Female,10000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,35.0,No,Si,No
16713,Married,Male,40000.0,2.0,Bachelors,Management,Yes,1.0,0-1 Miles,Pacific,52.0,Yes,Si,Si
16185,Single,Male,60000.0,4.0,Bachelors,Professional,Yes,3.0,10+ Miles,Pacific,41.0,No,Si,Si
14927,Married,Female,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,Si,No
29337,Single,Male,30000.0,2.0,Partial College,Clerical,Yes,2.0,5-10 Miles,Pacific,68.0,No,Si,Si
29355,Married,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,No,No
25303,Single,Male,30000.0,0.0,High School,Manual,Yes,1.0,2-5 Miles,Europe,33.0,Yes,No,Si
14813,Single,Female,20000.0,4.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,43.0,Yes,Si,Si
16438,Married,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,30.0,No,No,Si
14238,Married,Male,120000.0,0.0,Partial High School,Professional,Yes,4.0,10+ Miles,Pacific,36.0,Yes,No,Si
16200,Single,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,35.0,No,No,Si
24857,Married,Female,130000.0,3.0,High School,Professional,Yes,4.0,0-1 Miles,Europe,52.0,No,Si,Si
26956,Single,Female,20000.0,0.0,Partial College,Manual,No,1.0,2-5 Miles,Europe,36.0,Yes,No,Si
14517,Married,Female,20000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,62.0,No,Si,Si
12678,Single,Female,130000.0,4.0,High School,Management,Yes,4.0,0-1 Miles,Pacific,31.0,No,Si,Si
16188,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,26.0,No,No,Si
27969,Married,Male,80000.0,0.0,Bachelors,Professional,Yes,2.0,10+ Miles,Pacific,29.0,Yes,No,Si
15752,Married,Male,80000.0,2.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,50.0,Yes,Si,Si
27745,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,63.0,Yes,Si,Si
20828,Married,Female,30000.0,4.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,45.0,Yes,Si,No
19461,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,40.0,No,Si,Si
26941,Married,Male,30000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,Yes,No,No
28412,Single,Male,20000.0,0.0,High School,Manual,No,1.0,2-5 Miles,Europe,29.0,No,No,Si
24485,Single,Male,40000.0,2.0,Bachelors,Management,No,1.0,5-10 Miles,Pacific,52.0,Yes,Si,Si
16514,Single,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,1-2 Miles,Pacific,26.0,Yes,No,Si
17191,Single,Male,130000.0,3.0,Partial College,Professional,No,3.0,0-1 Miles,Europe,51.0,Yes,Si,Si
19608,Married,Male,80000.0,5.0,Bachelors,Professional,Yes,4.0,1-2 Miles,Pacific,40.0,No,Si,Si
24119,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,29.0,No,No,Si
25458,Married,Male,20000.0,1.0,High School,Manual,No,1.0,1-2 Miles,Europe,40.0,Yes,Si,Si
26886,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,29.0,Yes,No,Si
28436,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,30.0,Yes,No,Si
19562,Single,Female,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,37.0,Yes,Si,Si
15608,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,33.0,No,No,Si
16487,Single,Female,30000.0,3.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,55.0,No,Si,Si
17197,Single,Female,90000.0,5.0,Partial College,Professional,Yes,2.0,10+ Miles,Europe,62.0,No,Si,Si
12507,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,43.0,No,Si,Si
23940,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,1.0,0-1 Miles,Europe,44.0,Yes,Si,Si
19441,Married,Male,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,43.0,Yes,No,No
26852,Married,Female,20000.0,3.0,High School,Manual,Yes,2.0,0-1 Miles,Europe,43.0,No,Si,Si
12274,Single,Male,10000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,35.0,No,Si,No
20236,Single,Male,60000.0,3.0,Bachelors,Professional,No,2.0,0-1 Miles,Pacific,43.0,Yes,Si,Si
24149,Married,Male,10000.0,2.0,Partial College,Manual,Yes,0.0,1-2 Miles,Europe,49.0,No,Si,No
26139,Single,Male,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,45.0,No,Si,Si
18491,Single,Female,70000.0,2.0,High School,Professional,Yes,2.0,5-10 Miles,Pacific,49.0,Yes,Si,Si
22707,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,30.0,No,No,Si
20430,Married,Male,70000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,Si,Si
27494,Single,Female,40000.0,2.0,Partial College,Skilled Manual,No,2.0,1-2 Miles,Pacific,53.0,Yes,Si,Si
26829,Married,Female,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes,No,No
28395,Single,Male,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,39.0,Yes,No,No
21006,Single,Female,60000.0,1.0,Partial College,Manual,No,0.0,0-1 Miles,Europe,46.0,Yes,Si,No
14682,Single,Female,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,38.0,No,No,Si
17650,Single,Female,40000.0,2.0,Partial College,Clerical,Yes,2.0,1-2 Miles,Europe,35.0,No,Si,Si
29191,Single,Female,130000.0,1.0,Graduate Degree,Management,No,1.0,0-1 Miles,Pacific,36.0,Yes,Si,Si
15030,Married,Male,20000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Pacific,26.0,Yes,No,No
24140,Single,Male,10000.0,0.0,Graduate Degree,Manual,No,0.0,0-1 Miles,Europe,30.0,Yes,No,No
22496,Married,Female,30000.0,1.0,Bachelors,Skilled Manual,Yes,2.0,0-1 Miles,Europe,42.0,No,Si,Si
24065,Single,Female,20000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,40.0,Yes,Si,No
19914,Married,Male,80000.0,5.0,Bachelors,Management,Yes,2.0,2-5 Miles,Europe,62.0,No,Si,Si
12871,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,29.0,No,No,Si
22988,Married,Female,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,66.0,Yes,Si,Si
15922,Married,Male,150000.0,2.0,High School,Professional,Yes,4.0,0-1 Miles,Europe,48.0,No,Si,Si
12344,Single,Female,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,31.0,No,No,Si
23627,Single,Female,100000.0,3.0,Partial College,Management,No,4.0,5-10 Miles,Europe,56.0,No,Si,Si
27775,Single,Female,40000.0,0.0,Bachelors,Clerical,No,0.0,0-1 Miles,Europe,38.0,Yes,No,No
29301,Married,Male,80000.0,5.0,Bachelors,Professional,Yes,4.0,1-2 Miles,Pacific,40.0,No,Si,Si
12716,Single,Male,30000.0,0.0,Partial College,Clerical,Yes,1.0,2-5 Miles,Europe,32.0,No,No,Si
12472,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,1.0,2-5 Miles,Europe,39.0,No,Si,Si
20970,Single,Male,10000.0,2.0,Partial College,Manual,Yes,1.0,0-1 Miles,Europe,52.0,Yes,Si,Si
26818,Single,Male,10000.0,3.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,39.0,Yes,Si,Si
12993,Married,Male,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,37.0,No,Si,Si
14192,Married,Male,90000.0,4.0,High School,Management,Yes,3.0,5-10 Miles,Europe,56.0,Yes,Si,Si
19477,Married,Male,40000.0,0.0,Bachelors,Professional,Yes,0.0,0-1 Miles,Europe,40.0,Yes,No,No
26796,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,65.0,Yes,Si,Si
21094,Single,Female,30000.0,2.0,Partial College,Clerical,Yes,2.0,0-1 Miles,Europe,42.0,No,Si,Si
12234,Married,Male,10000.0,2.0,Partial College,Manual,Yes,1.0,2-5 Miles,Europe,52.0,No,Si,Si
28683,Single,Female,10000.0,1.0,High School,Manual,No,1.0,5-10 Miles,Europe,35.0,Yes,Si,Si
17994,Single,Male,20000.0,2.0,High School,Manual,Yes,2.0,0-1 Miles,Europe,42.0,No,Si,Si
24273,Married,Female,20000.0,2.0,Partial High School,Clerical,Yes,2.0,5-10 Miles,Pacific,55.0,Yes,Si,Si
26547,Single,Female,30000.0,2.0,Partial College,Clerical,No,2.0,5-10 Miles,Pacific,60.0,Yes,Si,Si
22500,Single,Male,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,40.0,Yes,No,No
23993,Single,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,26.0,Yes,No,Si
14832,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,42.0,Yes,Si,No
16614,Married,Female,80000.0,0.0,Bachelors,Professional,Yes,3.0,10+ Miles,Pacific,32.0,No,No,Si
20877,Single,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,1-2 Miles,Europe,37.0,Yes,Si,No
20729,Married,Female,40000.0,2.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,34.0,No,Si,Si
22464,Married,Male,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,No,No
19475,Married,Female,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,40.0,Yes,No,No
19675,Married,Male,20000.0,4.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,60.0,No,Si,Si
12728,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,1-2 Miles,Europe,27.0,No,No,Si
26154,Married,Male,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,43.0,Yes,Si,Si
29117,Single,Male,100000.0,1.0,Bachelors,Management,No,3.0,0-1 Miles,Pacific,48.0,No,Si,Si
17845,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,32.0,No,No,Si
25058,Married,Male,100000.0,1.0,Bachelors,Management,Yes,3.0,2-5 Miles,Pacific,47.0,No,Si,Si
23426,Single,Male,80000.0,5.0,Graduate Degree,Management,Yes,3.0,0-1 Miles,Pacific,40.0,No,Si,Si
14798,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,41.0,Yes,Si,Si
12664,Married,Female,130000.0,5.0,Partial College,Professional,Yes,4.0,0-1 Miles,Europe,59.0,No,Si,Si
23979,Single,Male,10000.0,2.0,Partial College,Manual,No,0.0,0-1 Miles,Europe,50.0,No,Si,No
25605,Single,Female,20000.0,2.0,Partial College,Manual,No,1.0,0-1 Miles,Europe,54.0,Yes,Si,Si
20797,Married,Female,10000.0,1.0,Bachelors,Manual,Yes,0.0,0-1 Miles,Europe,48.0,No,Si,No
21980,Single,Female,60000.0,1.0,Bachelors,Professional,Yes,1.0,5-10 Miles,Pacific,44.0,Yes,Si,Si
25460,Married,Female,20000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,40.0,Yes,Si,No
29181,Single,Female,60000.0,2.0,Bachelors,Professional,No,1.0,0-1 Miles,Pacific,38.0,Yes,Si,Si
24279,Single,Male,40000.0,2.0,Partial College,Skilled Manual,No,2.0,1-2 Miles,Pacific,52.0,No,Si,Si
22402,Married,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,2-5 Miles,Pacific,25.0,Yes,No,Si
15465,Married,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,25.0,No,No,Si
26757,Single,Male,90000.0,1.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,47.0,Yes,Si,Si
14233,Single,Male,100000.0,0.0,High School,Management,Yes,3.0,10+ Miles,Pacific,35.0,No,No,Si
14058,Single,Male,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,41.0,Yes,No,Si
12273,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,No,Si,No
17203,Married,Female,130000.0,4.0,Partial College,Professional,Yes,4.0,5-10 Miles,Europe,61.0,Yes,Si,Si
18144,Married,Female,80000.0,5.0,Bachelors,Management,Yes,2.0,2-5 Miles,Europe,61.0,No,Si,Si
23963,Married,Male,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,33.0,No,No,Si
17907,Married,Female,10000.0,0.0,Partial College,Manual,Yes,1.0,2-5 Miles,Pacific,27.0,No,No,Si
19442,Single,Male,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,0.0,0-1 Miles,Europe,37.0,Yes,No,No
17504,Single,Female,80000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,Si,Si
12253,Single,Female,20000.0,0.0,Partial College,Manual,Yes,0.0,0-1 Miles,Pacific,29.0,Yes,No,No
27304,Single,Female,110000.0,2.0,Partial College,Professional,No,3.0,5-10 Miles,Europe,48.0,No,Si,Si
14191,Married,Male,160000.0,4.0,Partial College,Professional,No,2.0,10+ Miles,Europe,55.0,Yes,Si,Si
12212,Married,Female,10000.0,0.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,37.0,Yes,No,No
25529,Single,Male,10000.0,1.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,44.0,No,Si,No
22170,Married,Female,30000.0,3.0,Partial College,Clerical,No,2.0,1-2 Miles,Pacific,55.0,Yes,Si,Si
19445,Married,Female,10000.0,2.0,High School,Manual,No,1.0,0-1 Miles,Europe,38.0,No,Si,Si
15265,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,66.0,Yes,Si,Si
28918,Married,Female,130000.0,4.0,High School,Management,No,4.0,10+ Miles,Europe,58.0,No,Si,Si
15799,Married,Female,90000.0,1.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,47.0,Yes,Si,Si
11047,Married,Female,30000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,56.0,Yes,Si,Si
18151,Single,Male,80000.0,5.0,Partial College,Professional,No,2.0,10+ Miles,Europe,59.0,No,Si,Si
20606,Married,Female,70000.0,0.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,32.0,Yes,No,Si
19482,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,44.0,Yes,Si,Si
16489,Married,Male,30000.0,3.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,55.0,No,Si,Si
26944,Single,Male,60000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,36.0,Yes,Si,No
15682,Single,Female,80000.0,5.0,Bachelors,Management,Yes,2.0,10+ Miles,Europe,62.0,No,Si,Si
26032,Married,Female,70000.0,5.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,41.0,No,Si,Si
17843,Single,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,32.0,No,No,Si
25559,Single,Male,20000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Pacific,25.0,Yes,No,No
16209,Single,Female,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,1.0,1-2 Miles,Europe,36.0,No,No,Si
11147,Married,Male,60000.0,2.0,Graduate Degree,Management,Yes,1.0,0-1 Miles,Pacific,67.0,Yes,Si,Si
15214,Single,Female,100000.0,0.0,Graduate Degree,Management,No,1.0,1-2 Miles,Pacific,39.0,Yes,No,Si
11453,Single,Male,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,33.0,Yes,No,Si
24584,Single,Male,60000.0,0.0,Bachelors,Professional,No,3.0,2-5 Miles,Pacific,31.0,No,No,Si
12585,Married,Male,10000.0,1.0,High School,Manual,Yes,0.0,2-5 Miles,Pacific,27.0,Yes,Si,No
18626,Single,Male,40000.0,2.0,Partial College,Clerical,Yes,1.0,1-2 Miles,Europe,33.0,Yes,Si,Si
29298,Single,Female,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,46.0,Yes,Si,Si
24842,Single,Female,90000.0,3.0,High School,Professional,No,1.0,2-5 Miles,Europe,51.0,No,Si,Si
15657,Married,Male,30000.0,3.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,46.0,Yes,Si,No
11415,Single,Male,90000.0,5.0,Partial College,Professional,No,2.0,10+ Miles,Europe,62.0,No,Si,Si
28729,Single,Female,20000.0,0.0,Partial High School,Manual,Yes,2.0,1-2 Miles,Europe,26.0,Yes,No,Si
22633,Single,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,No,No
25649,Single,Female,30000.0,3.0,Partial College,Clerical,Yes,0.0,0-1 Miles,Europe,42.0,Yes,Si,No
14669,Married,Female,80000.0,4.0,Graduate Degree,Management,Yes,1.0,0-1 Miles,Pacific,36.0,No,Si,Si
19299,Married,Female,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,0.0,0-1 Miles,Europe,36.0,Yes,No,No
20946,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,30.0,No,No,Si
11451,Single,Male,70000.0,0.0,Bachelors,Professional,No,4.0,10+ Miles,Pacific,31.0,Yes,No,Si
25553,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,65.0,Yes,Si,No
27951,Single,Male,80000.0,4.0,Partial College,Professional,No,2.0,2-5 Miles,Europe,54.0,Yes,Si,Si
25026,Married,Male,20000.0,2.0,Partial High School,Clerical,Yes,3.0,5-10 Miles,Pacific,54.0,No,Si,Si
13673,Single,Female,20000.0,2.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,25.0,No,Si,Si
16043,Single,Male,10000.0,1.0,Bachelors,Manual,Yes,0.0,0-1 Miles,Europe,48.0,No,Si,No
22399,Single,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,1-2 Miles,Pacific,26.0,Yes,No,Si
27696,Married,Male,60000.0,1.0,Bachelors,Professional,Yes,1.0,5-10 Miles,Pacific,43.0,Yes,Si,Si
25313,Single,Male,10000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,35.0,No,No,Si
13813,Married,Female,30000.0,3.0,Partial College,Clerical,No,0.0,0-1 Miles,Europe,42.0,No,Si,No
18711,Single,Female,70000.0,5.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,39.0,No,Si,Si
19650,Married,Female,30000.0,2.0,Partial College,Clerical,No,2.0,0-1 Miles,Pacific,67.0,No,Si,Si
14135,Married,Male,20000.0,1.0,Partial College,Manual,Yes,0.0,1-2 Miles,Europe,43.0,No,Si,No
12833,Single,Female,20000.0,3.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,42.0,Yes,Si,Si
26849,Married,Male,10000.0,3.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,43.0,No,Si,Si
20962,Married,Female,20000.0,1.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,45.0,No,Si,No
28915,Single,Male,80000.0,5.0,High School,Management,Yes,3.0,10+ Miles,Europe,57.0,No,Si,Si
22830,Married,Male,120000.0,4.0,Partial College,Management,Yes,3.0,10+ Miles,Europe,56.0,No,Si,Si
